curve,date,n,m,dt_min,residuals,unknowns,max_abs_bp,mean_abs_bp,rms_bp,cost,converged,breakpoints,at_bound
DI1,2023-11-07,4,5,0.05,13,7,14.647645144675092,3.9251869398043757,4.909471160389886,9.406557784928959e-05,10,0.050 0.270 0.776,1
DI1,2023-11-07,4,5,0.02,13,7,13.003391320308722,3.8384212213623714,4.759922716891528,7.538660174362871e-05,7,0.020 0.273 0.772,1
DI1,2023-11-07,4,6,0.05,22,7,10.176163295896718,3.479807081392725,4.265863693532709,0.0004114604428400372,11,0.273 0.367 0.727,0
DI1,2023-11-07,4,6,0.02,22,7,10.176163117355442,3.4798075668921835,4.265864077878042,0.0004114604428400546,11,0.273 0.367 0.727,0
DI1,2023-11-07,5,5,0.05,13,9,7.286952352919118,1.9431770034914015,2.5902133408725816,7.941751781427579e-06,9,0.050 0.193 0.321 0.719,1
DI1,2023-11-07,5,5,0.02,13,9,6.532532029662352,1.935933473215548,2.543265475602117,7.923815341501393e-06,6,0.045 0.199 0.323 0.719,0
DI1,2023-11-07,5,6,0.05,22,9,7.482893547835356,2.264013954468299,2.936771283019369,2.452434810036817e-05,9,0.078 0.170 0.315 0.722,0
DI1,2023-11-07,5,6,0.02,22,9,7.482892804116137,2.2640139221405446,2.93677112326373,2.4524348100370405e-05,7,0.078 0.170 0.315 0.722,0
H.15,2023-10-11,3,4,0.05,7,5,24.01070587964148,12.361668584844828,14.498227580136547,0.010500590646819297,12,0.420 0.950,1
H.15,2023-10-11,3,4,0.02,7,5,25.08030943990869,12.285406578319877,14.497587470716987,0.010280443329878661,12,0.419 0.980,1
H.15,2023-10-11,3,5,0.05,13,5,25.78120083409671,13.421193349335864,15.66392839145934,0.022710170280513926,12,0.398 0.950,1
H.15,2023-10-11,3,5,0.02,13,5,26.783459325786573,13.259666193409432,15.524299525064459,0.02151299641394728,12,0.400 0.980,1
H.15,2023-10-11,3,6,0.05,22,5,24.94933125770684,13.655065815506397,15.952347387316351,0.042593411502249864,12,0.393 0.926,0
H.15,2023-10-11,3,6,0.02,22,5,24.94933083696269,13.655065761470214,15.952347311046593,0.042593411502249844,12,0.393 0.926,0
H.15,2023-10-11,4,5,0.05,13,7,9.585129110598189,4.077996969379556,5.182054544762302,0.004252183583011223,12,0.095 0.339 0.950,1
H.15,2023-10-11,4,5,0.02,13,7,10.423392549287536,4.210633085141315,5.428001528322755,0.004225089322192425,11,0.093 0.342 0.968,0
H.15,2023-10-11,4,6,0.05,22,7,22.976883466557503,13.306094018907096,15.250659512192447,0.021468753319074746,12,0.381 0.773 0.823,0
H.15,2023-10-11,4,6,0.02,22,7,22.95085461850584,13.45738629869683,15.45630801935871,0.021257017232559804,11,0.383 0.797 0.817,0
