target,n,schedule,mean_err,max_err,cost,converged,breakpoints
sin(pi t),4,working,0.016103157505469166,0.06570323082532148,1.9268324557471298e-08,5,0.237 0.519 0.789
sin(pi t),4,variance,0.016849726447077027,0.06471015472433528,2.2579610678752807e-07,5,0.264 0.559 0.816
sin(pi t),4,uniform,0.016066122852682146,0.06589852121210216,1.8332733470597218e-09,4,0.239 0.521 0.790
sin(pi t),5,working,0.009263104706740364,0.03404009632991001,2.007491068780673e-09,3,0.193 0.405 0.608 0.821
sin(pi t),5,variance,0.00928289075863506,0.03509501985794994,1.849421235244214e-08,6,0.213 0.423 0.621 0.833
sin(pi t),5,uniform,0.00924761082551561,0.03393981423570169,1.926768343240268e-10,3,0.194 0.406 0.609 0.822
sin(2 pi t),4,working,0.06696291257157244,0.2301890065548846,7.159855508877074e-05,6,0.236 0.756 0.922
sin(2 pi t),4,variance,0.06940724634405117,0.20950643650146716,0.0005179020442092495,10,0.247 0.756 0.977
sin(2 pi t),4,uniform,0.06702894493217007,0.2258691525921257,6.616470694651949e-06,4,0.240 0.755 0.940
sin(2 pi t),5,working,0.029196854715911796,0.10320173718917292,2.5785313188560343e-08,4,0.146 0.322 0.681 0.859
sin(2 pi t),5,variance,0.029172793109525558,0.10594374684719621,1.5941527579230384e-07,8,0.148 0.324 0.680 0.859
sin(2 pi t),5,uniform,0.02919314720953654,0.10358785627076084,2.469847582015697e-09,7,0.147 0.323 0.681 0.859
sin(pi t^2),4,working,0.017862966675028152,0.07395046958888318,1.2803654217936387e-08,9,0.179 0.695 0.882
sin(pi t^2),4,variance,0.018112328255456257,0.07079944436014751,1.6376354645585008e-07,7,0.172 0.696 0.880
sin(pi t^2),4,uniform,0.01783597487940502,0.07304049409383395,1.1846008591428191e-09,10,0.179 0.695 0.882
sin(pi t^2),5,working,0.012336136302275657,0.04230844786785026,6.715450222467962e-09,5,0.187 0.669 0.799 0.914
sin(pi t^2),5,variance,0.012625343396596244,0.04026698487222291,2.4324686978380302e-08,4,0.189 0.663 0.813 0.933
sin(pi t^2),5,uniform,0.012250498648926453,0.04253624568818626,5.787655210628822e-10,6,0.188 0.667 0.800 0.915
DI1 2023-11-07,5,working,3.9199893695200556,14.794289349730017,6.061598418726301e-07,2,0.034 0.271 0.291 0.785
DI1 2023-11-07,5,variance,1.935933473215548,6.532532029662352,7.923815341501393e-06,6,0.045 0.199 0.323 0.719
DI1 2023-11-07,5,uniform,2.2463816896525612,6.895851228800942,3.764231283269138e-09,2,0.023 0.209 0.317 0.728
H.15 2023-10-11,4,working,3.871975298983742,9.166352003910605,1.046582415437231e-06,4,0.062 0.355 0.904
H.15 2023-10-11,4,variance,4.210633085141315,10.423392549287536,0.004225089322192425,11,0.093 0.342 0.968
H.15 2023-10-11,4,uniform,3.8638694167304135,9.291545244100941,1.0096138886827639e-07,5,0.063 0.355 0.906
