Date,MATURITY,PX_LAST
2007-01-31,0A,43.45
2007-02-01,0A,44.4
2007-02-02,0A,41.8
2007-02-05,0A,41.65
2007-02-06,0A,42.15
2007-02-07,0A,42.1
2007-02-08,0A,41.0
2007-02-09,0A,45.85
2007-02-12,0A,45.5
2007-02-13,0A,32.55
2007-02-14,0A,46.05
2007-02-15,0A,34.95
2007-02-16,0A,38.0
2007-02-19,0A,38.05
2007-02-20,0A,39.65
2007-02-21,0A,37.45
2007-02-22,0A,35.4
2007-02-23,0A,37.1
2007-02-26,0A,40.0
2007-02-27,0A,51.15
2007-02-28,0A,56.35
2007-03-01,0A,65.65
2007-03-02,0A,76.7
2007-03-05,0A,70.75
2007-03-06,0A,71.65
2007-03-07,0A,71.4
2007-03-08,0A,71.75
2007-03-09,0A,56.65
2007-03-12,0A,61.85
2007-03-13,0A,87.7
2007-03-14,0A,81.9
2007-03-15,0A,75.4
2007-03-16,0A,73.0
2007-03-19,0A,72.4
2007-03-20,0A,73.1
2007-03-21,0A,72.1
2007-03-22,0A,72.2
2007-03-23,0A,72.55
2007-03-26,0A,76.45
2007-03-27,0A,78.3
2007-03-28,0A,77.2
2007-03-29,0A,69.9
2007-03-30,0A,70.7
2007-04-02,0A,68.1
2007-04-03,0A,70.3
2007-04-04,0A,70.4
2007-04-05,0A,64.6
2007-04-06,0A,56.9
2007-04-09,0A,54.8
2007-04-10,0A,60.55
2007-04-11,0A,63.0
2007-04-12,0A,53.45
2007-04-13,0A,53.7
2007-04-16,0A,63.0
2007-04-17,0A,59.0
2007-04-18,0A,50.55
2007-04-19,0A,52.85
2007-04-20,0A,52.0
2007-04-23,0A,52.05
2007-04-24,0A,54.95
2007-04-25,0A,53.75
2007-04-26,0A,51.35
2007-04-27,0A,50.65
2007-04-30,0A,54.8
2007-05-01,0A,56.45
2007-05-02,0A,53.8
2007-05-03,0A,53.25
2007-05-04,0A,49.8
2007-05-07,0A,50.35
2007-05-08,0A,49.65
2007-05-09,0A,48.1
2007-05-10,0A,47.25
2007-05-11,0A,46.45
2007-05-14,0A,44.05
2007-05-15,0A,44.1
2007-05-16,0A,41.3
2007-05-17,0A,39.8
2007-05-18,0A,40.55
2007-05-21,0A,39.1
2007-05-22,0A,39.05
2007-05-23,0A,37.1
2007-05-24,0A,38.0
2007-05-25,0A,38.0
2007-05-28,0A,38.0
2007-05-29,0A,41.4
2007-05-30,0A,42.6
2007-05-31,0A,42.6
2007-06-01,0A,36.4
2007-06-04,0A,35.95
2007-06-05,0A,36.0
2007-06-06,0A,38.25
2007-06-07,0A,36.85
2007-06-08,0A,37.9
2007-06-11,0A,32.85
2007-06-12,0A,40.05
2007-06-13,0A,35.9
2007-06-14,0A,34.15
2007-06-15,0A,29.8
2007-06-18,0A,29.6
2007-06-19,0A,31.75
2007-06-20,0A,31.05
2007-06-21,0A,35.0
2007-06-22,0A,34.4
2007-06-25,0A,43.25
2007-06-26,0A,44.2
2007-06-27,0A,49.6
2007-06-28,0A,46.05
2007-06-29,0A,46.15
2007-07-02,0A,47.45
2007-07-03,0A,47.5
2007-07-04,0A,48.15
2007-07-05,0A,45.1
2007-07-06,0A,45.35
2007-07-09,0A,46.5
2007-07-10,0A,49.6
2007-07-11,0A,45.4
2007-07-12,0A,46.15
2007-07-13,0A,44.6
2007-07-16,0A,45.05
2007-07-17,0A,42.8
2007-07-18,0A,39.55
2007-07-19,0A,41.65
2007-07-20,0A,41.85
2007-07-23,0A,44.0
2007-07-24,0A,44.6
2007-07-25,0A,43.4
2007-07-26,0A,79.0
2007-07-27,0A,90.9
2007-07-30,0A,80.75
2007-07-31,0A,79.45
2007-08-01,0A,77.1
2007-08-02,0A,76.15
2007-08-03,0A,83.55
2007-08-06,0A,101.95
2007-08-07,0A,88.95
2007-08-08,0A,78.4
2007-08-09,0A,100.65
2007-08-10,0A,78.6
2007-08-13,0A,106.55
2007-08-14,0A,119.6
2007-08-15,0A,114.4
2007-08-16,0A,130.9
2007-08-17,0A,115.05
2007-08-20,0A,120.0
2007-08-21,0A,134.5
2007-08-22,0A,122.0
2007-08-23,0A,123.35
2007-08-24,0A,117.35
2007-08-27,0A,115.75
2007-08-28,0A,124.6
2007-08-29,0A,124.05
2007-08-30,0A,135.95
2007-08-31,0A,135.35
2007-09-03,0A,130.8
2007-09-04,0A,136.9
2007-09-05,0A,139.2
2007-09-06,0A,129.35
2007-09-07,0A,140.95
2007-09-10,0A,143.25
2007-09-11,0A,136.8
2007-09-12,0A,141.3
2007-09-13,0A,130.35
2007-09-14,0A,130.0
2007-09-17,0A,133.5
2007-09-18,0A,127.05
2007-09-19,0A,108.4
2007-09-20,0A,107.6
2007-09-21,0A,112.55
2007-09-24,0A,115.25
2007-09-25,0A,123.9
2007-09-26,0A,119.0
2007-09-27,0A,116.95
2007-09-28,0A,114.4
2007-10-01,0A,125.0
2007-10-02,0A,129.95
2007-10-03,0A,119.25
2007-10-04,0A,115.35
2007-10-05,0A,103.8
2007-10-08,0A,108.0
2007-10-09,0A,104.4
2007-10-10,0A,94.3
2007-10-11,0A,94.3
2007-10-12,0A,85.25
2007-10-15,0A,90.0
2007-10-16,0A,92.0
2007-10-17,0A,96.35
2007-10-18,0A,96.4
2007-10-19,0A,100.9
2007-10-22,0A,102.25
2007-10-23,0A,105.55
2007-10-24,0A,112.5
2007-10-25,0A,108.45
2007-10-26,0A,106.45
2007-10-29,0A,105.8
2007-10-30,0A,101.85
2007-10-31,0A,94.65
2007-11-01,0A,111.75
2007-11-02,0A,107.25
2007-11-05,0A,109.85
2007-11-06,0A,112.45
2007-11-07,0A,120.15
2007-11-08,0A,129.65
2007-11-09,0A,127.5
2007-11-12,0A,126.7
2007-11-13,0A,119.25
2007-11-14,0A,115.95
2007-11-15,0A,121.9
2007-11-16,0A,116.45
2007-11-19,0A,122.0
